index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by
8254,404-9302357-7914768,04-25-22,Cancelled,Merchant,Amazon.in,Standard,Shoes,Free,On the Way,0,INR,856.19,KOLHAPUR,MAHARASHTRA,416012,IN,FALSE,Easy Ship
8256,402-9953636-7261903,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,3XL,Shipped,1,INR,540,VADODARA,Gujarat,390023,IN,FALSE,Easy Ship
8257,404-3031763-0340326,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,T-shirt,XS,Shipped,1,INR,852,HANUMANGARH,RAJASTHAN,335511,IN,FALSE,Easy Ship
8258,404-5677177-3111532,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,1115,NAMCHI,SIKKIM,737126,IN,FALSE,Easy Ship
8260,404-6110412-7425933,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,790,AHMEDABAD,Gujarat,382424,IN,FALSE,Easy Ship
8262,405-7732970-3958760,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,969,GHAZIABAD,UTTAR PRADESH,201017,IN,FALSE,Easy Ship
8263,404-1097477-3024333,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,1186,BENGALURU,KARNATAKA,560068,IN,FALSE,Easy Ship
8270,407-1059613-9634737,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,M,Shipped,1,INR,744,HYDERABAD,TELANGANA,500072,IN,FALSE,Easy Ship
8277,403-7676957-4768316,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XS,Shipped,1,INR,362,HALDIA,WEST BENGAL,721635,IN,FALSE,Easy Ship
8281,405-9994909-9579511,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,1204,BENGALURU,KARNATAKA,560071,IN,FALSE,Easy Ship
8282,402-1852203-7640352,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,1281,HYDERABAD,TELANGANA,500008,IN,FALSE,Easy Ship
8283,404-1163324-9104310,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,M,Shipped,1,INR,744,CHENNAI,TAMIL NADU,600130,IN,FALSE,Easy Ship
8286,404-7209405-7137151,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,824,GUWAHATI,ASSAM,781016,IN,FALSE,Easy Ship
8290,171-5181565-2205101,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,1523,KALYAN,MAHARASHTRA,421301,IN,FALSE,Easy Ship
8291,408-1685420-9045954,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,M,Shipped,1,INR,518,KALYAN,MAHARASHTRA,421301,IN,FALSE,Easy Ship
8294,407-4954811-8893963,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,487,BASTI,UTTAR PRADESH,272124,IN,FALSE,Easy Ship
8296,408-4790163-1714741,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,568,Zirakpur,Punjab/Mohali/Zirakpur,140603,IN,FALSE,Easy Ship
8297,403-7584747-8466722,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,345,TONK,RAJASTHAN,304801,IN,FALSE,Easy Ship
8299,405-5707745-0380306,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,459,DEHRADUN,UTTARAKHAND,248171,IN,FALSE,Easy Ship
8301,407-5576053-0403531,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,XL,Shipped,1,INR,771,BENGALURU,KARNATAKA,560087,IN,FALSE,Easy Ship
8302,403-7966129-1108308,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,995,BENGALURU,KARNATAKA,560097,IN,FALSE,Easy Ship
8303,171-3546198-8022724,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,751,SHIMLA,HIMACHAL PRADESH,171005,IN,FALSE,Easy Ship
8304,405-0249921-3684315,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,499,SILIGURI,WEST BENGAL,734009,IN,FALSE,Easy Ship
8305,406-3977523-8261913,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,1213,NAVI MUMBAI,MAHARASHTRA,400706,IN,FALSE,Easy Ship
8307,407-9195013-4949153,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,L,Shipped,1,INR,725,BENGALURU,KARNATAKA,560087,IN,FALSE,Easy Ship
8310,406-4997497-1382768,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XS,Shipped,1,INR,715,BAHADURGARH,HARYANA,124507,IN,FALSE,Easy Ship
8311,407-8730204-6171509,04-25-22,Cancelled,Merchant,Amazon.in,Standard,Blazzer,XXL,On the Way,0,INR,690.48,BENGALURU,KARNATAKA,560087,IN,FALSE,Easy Ship
8314,406-6351685-3825924,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,3XL,Shipped,1,INR,666,MUMBAI,MAHARASHTRA,400067,IN,FALSE,Easy Ship
8315,402-0143224-1571567,04-25-22,Cancelled,Merchant,Amazon.in,Standard,Shirt,XS,On the Way,0,INR,448.57,Thrissur District,KERALA,680588,IN,FALSE,Easy Ship
8317,171-4523305-9635567,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,M,Shipped,1,INR,518,NEW TOWN,WEST BENGAL,700156,IN,FALSE,Easy Ship
8319,407-1525939-3801907,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,3XL,Shipped,1,INR,563,NAVI MUMBAI,MAHARASHTRA,400706,IN,FALSE,Easy Ship
8321,407-7251084-0688367,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,283,BENGALURU,KARNATAKA,560090,IN,FALSE,Easy Ship
8322,407-1333259-0463549,04-25-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,S,On the Way,0,INR,568.57,SULTANPUR,UTTAR PRADESH,228001,IN,FALSE,Easy Ship
8325,402-2232127-3403549,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,442,CHITTUR THATHAMANGALAM,KERALA,678554,IN,FALSE,Easy Ship
8326,406-3487936-3071516,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,487,KAVALI,ANDHRA PRADESH,524201,IN,FALSE,Easy Ship
8328,171-7973767-5255508,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,L,Shipped,1,INR,771,PUNE,MAHARASHTRA,411014,IN,FALSE,Easy Ship
8330,405-0156601-0833920,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,399,JAMSHEDPUR,JHARKHAND,831017,IN,FALSE,Easy Ship
8331,171-9541187-1917140,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,M,Shipped,1,INR,744,PUNE,MAHARASHTRA,411057,IN,FALSE,Easy Ship
8332,403-9786387-7717140,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,852,VISAKHAPATNAM,ANDHRA PRADESH,530011,IN,FALSE,Easy Ship
8338,403-1733452-1865915,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,692,MAYILADUTHURAI,TAMIL NADU,609001,IN,FALSE,Easy Ship
8340,407-5255945-9636333,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,1260,JHANSI,UTTAR PRADESH,284001,IN,FALSE,Easy Ship
8342,404-5865674-2595544,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,521,PILIBHIT,UTTAR PRADESH,262001,IN,FALSE,Easy Ship
8345,403-1263567-8735508,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,563,KANNIYAKUMARI,TAMIL NADU,629702,IN,FALSE,Easy Ship
8346,407-9396659-0580314,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,399,AHMEDABAD,Gujarat,380058,IN,FALSE,Easy Ship
8347,407-9396659-0580314,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,521,AHMEDABAD,Gujarat,380058,IN,FALSE,Easy Ship
8348,404-8034269-6699549,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,XXL,Shipped,1,INR,791,KUNNATHUNAD,KERALA,683562,IN,FALSE,Easy Ship
8350,407-4555348-5837910,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,399,Vijayawada,ANDHRA PRADESH,520015,IN,FALSE,Easy Ship
8352,406-9461567-9573967,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,XS,Shipped,1,INR,725,THAIKATTUSSERY,KERALA,688526,IN,FALSE,Easy Ship
8355,405-3463974-3328352,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,318,CHENNAI,TAMIL NADU,600100,IN,FALSE,Easy Ship
8356,405-3463974-3328352,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,259,CHENNAI,TAMIL NADU,600100,IN,FALSE,Easy Ship
8357,406-6177942-6290732,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,399,SHIMLA,HIMACHAL PRADESH,171005,IN,FALSE,Easy Ship
8358,404-1866191-2809926,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,S,Shipped,1,INR,699,BENGALURU,KARNATAKA,560062,IN,FALSE,Easy Ship
8359,408-5088766-3526748,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,579,Nagaon,ASSAM,782427,IN,FALSE,Easy Ship
8360,171-9482248-2366764,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,459,BHADRAVATI,KARNATAKA,577301,IN,FALSE,Easy Ship
8362,171-3459522-1641166,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,399,CHENNAI,TAMIL NADU,600126,IN,FALSE,Easy Ship
8365,407-3502291-1779552,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,654,HAZARIBAGH,JHARKHAND,825301,IN,FALSE,Easy Ship
8366,171-2290945-1270753,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,399,GOKAK,KARNATAKA,591307,IN,FALSE,Easy Ship
8367,405-7018024-4711519,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,M,Shipped,1,INR,725,Pappanamcode THIRUVANANTHAPURAM,KERALA,695018,IN,FALSE,Easy Ship
8368,403-2668229-8343557,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,495,KOKRAJHAR,ASSAM,783370,IN,FALSE,Easy Ship
8369,171-5966400-3624323,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,XXL,Shipped,1,INR,518,MUMBAI,MAHARASHTRA,400076,IN,FALSE,Easy Ship
8371,407-8236759-6684302,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,357,WARDHA,MAHARASHTRA,442001,IN,FALSE,Easy Ship
8374,404-0292457-5096362,04-25-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,521.9,PUNE,MAHARASHTRA,411060,IN,FALSE,Easy Ship
8375,404-0292457-5096362,04-25-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,L,On the Way,0,INR,701.9,PUNE,MAHARASHTRA,411060,IN,FALSE,Easy Ship
8376,403-6878074-2410724,04-25-22,Cancelled,Merchant,Amazon.in,Standard,Trousers,XL,On the Way,0,INR,313.34,SURAT,Gujarat,395004,IN,FALSE,Easy Ship
8378,408-2733139-8827540,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,0,JAMSHEDPUR,JHARKHAND,831005,IN,FALSE,Easy Ship
8379,402-1797063-3221158,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,L,Shipped,1,INR,487,PUNE,MAHARASHTRA,411041,IN,FALSE,Easy Ship
8380,403-6368685-2705117,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,801,KANCHEEPURAM,TAMIL NADU,631501,IN,FALSE,Easy Ship
8381,171-7777080-3534769,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,363,BHUBANESWAR,ODISHA,751012,IN,FALSE,Easy Ship
8382,402-1080708-4059569,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XS,Shipped,1,INR,419,TIRUCHIRAPPALLI,TAMIL NADU,620020,IN,FALSE,Easy Ship
8384,403-3977835-7477961,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Blazzer,3XL,Shipped,1,INR,665,MUMBAI,MAHARASHTRA,400064,IN,FALSE,Easy Ship
8385,404-1263854-9116302,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,S,Shipped,1,INR,443,PANCHKULA,HARYANA,134117,IN,FALSE,Easy Ship
8386,402-8451052-4801946,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,1126,SHIMLA,HIMACHAL PRADESH,171005,IN,FALSE,Easy Ship
8388,403-2508233-5382705,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,1163,CHANDIGARH,CHANDIGARH,160002,IN,FALSE,Easy Ship
8391,404-2766241-3342729,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,3XL,Shipped,1,INR,540,HYDERABAD,TELANGANA,500051,IN,FALSE,Easy Ship
8392,407-6443249-6738736,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,S,Shipped,1,INR,725,CHANDIGARH,CHANDIGARH,160047,IN,FALSE,Easy Ship
8393,407-6443249-6738736,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,M,Shipped,1,INR,725,CHANDIGARH,CHANDIGARH,160047,IN,FALSE,Easy Ship
8394,408-9401250-1287515,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,1099,Pune,MAHARASHTRA,412101,IN,FALSE,Easy Ship
8397,402-2101328-2707506,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,626,GORAKHPUR,UTTAR PRADESH,273001,IN,FALSE,Easy Ship
8399,405-0355714-3637126,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,M,Shipped,1,INR,744,BANGALORE,KARNATAKA,560093,IN,FALSE,Easy Ship
